No,Title,Author,Year,DOI
1,brief interactive psychoeducation for caregivers of patients with early phase psychosis in yogyakarta indonesia,"[{'AuN': 'carla raymondalexas marchira', 'AfN': 'gadjah mada university'}, {'AuN': 'irwan supriyanto', 'AfN': 'gadjah mada university'}, {'AuN': 'subandi subandi', 'AfN': 'gadjah mada university'}, {'AuN': 'maryjo delvecchio good', 'AfN': 'harvard university'}, {'AuN': 'byron j good', 'AfN': 'harvard university'}]",2019,10.1111/eip.12506
2,opportunities and challenges for an indonesian forest monitoring network,"[{'AuN': 'francis q brearley', 'AfN': 'manchester metropolitan university'}, {'AuN': 'wahyu c adinugroho', 'AfN': 'ministry of forestry'}, {'AuN': 'rodrigo camaraleret', 'AfN': 'royal botanic gardens'}, {'AuN': 'haruni krisnawati', 'AfN': 'ministry of forestry'}, {'AuN': 'alicia ledo', 'AfN': 'university of aberdeen'}, {'AuN': 'lan qie', 'AfN': 'imperial college london'}, {'AuN': 'lan qie', 'AfN': 'university of lincoln'}, {'AuN': 'lan qie', 'AfN': 'university of leeds'}, {'AuN': 'thomas e smith', 'AfN': 'london school of economics and political science'}, {'AuN': 'fitri k aini', 'AfN': 'center for international forestry research'}, {'AuN': 'fabien garnier'}, {'AuN': 'nurul s lestari', 'AfN': 'ministry of forestry'}, {'AuN': 'muhammad mansur', 'AfN': 'indonesian institute of sciences'}, {'AuN': 'agustinus murdjoko'}, {'AuN': 'satria oktarita', 'AfN': 'center for international forestry research'}, {'AuN': 'emma soraya', 'AfN': 'gadjah mada university'}, {'AuN': 'hesti lestari tata', 'AfN': 'ministry of forestry'}, {'AuN': 'tatang tiryana', 'AfN': 'bogor agricultural university'}, {'AuN': 'liam a trethowan', 'AfN': 'manchester metropolitan university'}, {'AuN': 'charlotte e wheeler', 'AfN': 'university of edinburgh'}, {'AuN': 'muhammad abdullah'}, {'AuN': 'aswandi'}, {'AuN': 'benjamin j w buckley'}, {'AuN': 'elena cantarello', 'AfN': 'bournemouth university'}, {'AuN': 'iswan dunggio'}, {'AuN': 'hendra gunawan', 'AfN': 'ministry of forestry'}, {'AuN': 'charlie d heatubun', 'AfN': 'royal botanic gardens'}, {'AuN': 'diah irawati dwi arini'}, {'AuN': 'istomo', 'AfN': 'bogor agricultural university'}, {'AuN': 'tajudin edy komar', 'AfN': 'ministry of forestry'}, {'AuN': 'relawan kuswandi'}, {'AuN': 'zaenal mutaqien', 'AfN': 'indonesian institute of sciences'}, {'AuN': 'sunitha r pangala', 'AfN': 'lancaster university'}, {'AuN': 'ramadhanil'}, {'AuN': 'prayoto', 'AfN': 'hiroshima university'}, {'AuN': 'antun puspanti', 'AfN': 'ministry of forestry'}, {'AuN': 'muhammad a qirom', 'AfN': 'ministry of forestry'}, {'AuN': 'andes hamuraby rozak', 'AfN': 'indonesian institute of sciences'}, {'AuN': 'asep sadili', 'AfN': 'indonesian institute of sciences'}, {'AuN': 'ismayadi samsoedin', 'AfN': 'ministry of forestry'}, {'AuN': 'endah sulistyawati', 'AfN': 'bandung institute of technology'}, {'AuN': 'siti sundari', 'AfN': 'indonesian institute of sciences'}, {'AuN': 'sutomo', 'AfN': 'indonesian institute of sciences'}, {'AuN': 'agustinus p tampubolon', 'AfN': 'ministry of forestry'}, {'AuN': 'campbell o webb', 'AfN': 'harvard university'}, {'AuN': 'campbell o webb', 'AfN': 'university of alaska fairbanks'}]",2019,10.1007/s13595-019-0840-0
3,invited and accepted speakers of the fifth world landslide forum in kyoto 2020,"[{'AuN': 'kyoji sassa'}, {'AuN': 'khang dang'}, {'AuN': 'fausto guzzetti'}, {'AuN': 'nicola casagli', 'AfN': 'university of florence'}, {'AuN': 'binod tiwari', 'AfN': 'california state university fullerton'}, {'AuN': 'matjaž mikos', 'AfN': 'university of ljubljana'}, {'AuN': 'vit vilimek', 'AfN': 'charles university in prague'}, {'AuN': 'peter bobrowsky', 'AfN': 'geological survey of canada'}, {'AuN': 'kazuo konagai'}, {'AuN': 'željko arbanas', 'AfN': 'university of rijeka'}, {'AuN': 'snježana mihalic arbanas', 'AfN': 'university of zagreb'}, {'AuN': 'ping lu', 'AfN': 'tongji university'}, {'AuN': 'katsuo sasahara', 'AfN': 'kōchi university'}, {'AuN': 'irasema alcantaraayala', 'AfN': 'national autonomous university of mexico'}, {'AuN': 'alexander strom'}, {'AuN': 'michael t hendry', 'AfN': 'university of alberta'}, {'AuN': 'hiromitsu yamagishi'}, {'AuN': 'veronica tofani', 'AfN': 'university of florence'}, {'AuN': 'sabatino cuomo', 'AfN': 'university of salerno'}, {'AuN': 'faisal fathani', 'AfN': 'gadjah mada university'}, {'AuN': 'jan klimes'}, {'AuN': 'fawu wang', 'AfN': 'shimane university'}, {'AuN': 'paola reichenbach'}, {'AuN': 'candan gokceoglu', 'AfN': 'hacettepe university'}, {'AuN': 'daisuke higaki', 'AfN': 'hirosaki university'}, {'AuN': 'tomofumi koyama', 'AfN': 'kansai university'}]",2019,10.1007/s10346-018-01134-y
4,safety of primaquine in infants with plasmodium vivax malaria in papua indonesia,"[{'AuN': 'agus setyadi', 'AfN': 'gadjah mada university'}, {'AuN': 'eggi arguni', 'AfN': 'gadjah mada university'}, {'AuN': 'enny kenangalem'}, {'AuN': 'afdhal hasanuddin'}, {'AuN': 'daniel a lampah'}, {'AuN': 'kamala thriemer', 'AfN': 'charles darwin university'}, {'AuN': 'nicholas m anstey', 'AfN': 'charles darwin university'}, {'AuN': 'paulus sugiarto'}, {'AuN': 'julie a simpson', 'AfN': 'university of melbourne'}, {'AuN': 'ric n price', 'AfN': 'mahidol university'}, {'AuN': 'ric n price', 'AfN': 'charles darwin university'}, {'AuN': 'ric n price', 'AfN': 'university of oxford'}, {'AuN': 'nicholas m douglas', 'AfN': 'charles darwin university'}, {'AuN': 'jeanne rini poespoprodjo', 'AfN': 'gadjah mada university'}]",2019,10.1186/s12936-019-2745-7
5,achieving gender equality requires placing adolescents at the center,"[{'AuN': 'robert w blum', 'AfN': 'johns hopkins university'}, {'AuN': 'jo boyden', 'AfN': 'university of oxford'}, {'AuN': 'annabel erulkar', 'AfN': 'population council'}, {'AuN': 'caroline w kabiru', 'AfN': 'population council'}, {'AuN': 'siswanto agus wilopo', 'AfN': 'gadjah mada university'}]",2019,10.1016/j.jadohealth.2019.02.002
6,temporal effects of maternal psychological distress on child mental health problems at ages 3 5 7 and 11 analysis from the uk millennium cohort study,"[{'AuN': 'steven hope'}, {'AuN': 'anna pearce'}, {'AuN': 'catherine r chittleborough', 'AfN': 'university of adelaide'}, {'AuN': 'jessica deighton'}, {'AuN': 'amelia maika', 'AfN': 'gadjah mada university'}, {'AuN': 'nadia micali'}, {'AuN': 'murthy n mittinty', 'AfN': 'university of adelaide'}, {'AuN': 'catherine law'}, {'AuN': 'john lynch', 'AfN': 'university of adelaide'}]",2019,10.1017/S0033291718001368
7,biofilm composition and composite degradation during intra oral wear,"[{'AuN': 'h dedy kusuma yulianto', 'AfN': 'gadjah mada university'}, {'AuN': 'margareta rinastiti', 'AfN': 'gadjah mada university'}, {'AuN': 'marco s cune'}, {'AuN': 'willy de haanvisser', 'AfN': 'university medical center groningen'}, {'AuN': 'jelly atemasmit', 'AfN': 'university medical center groningen'}, {'AuN': 'henk j busscher'}, {'AuN': 'henny c van der mei'}]",2019,10.1016/j.dental.2019.02.024
8,bridging the knowledge practice gap in tuberculosis contact management in a high burden setting a mixed methods protocol for a multicenter health system strengthening study,"[{'AuN': 'trisasi lestari', 'AfN': 'charles darwin university'}, {'AuN': 'trisasi lestari', 'AfN': 'gadjah mada university'}, {'AuN': 'steve graham', 'AfN': 'burnet institute'}, {'AuN': 'steve graham', 'AfN': 'university of melbourne'}, {'AuN': 'christel van den boogard', 'AfN': 'charles darwin university'}, {'AuN': 'rina triasih', 'AfN': 'gadjah mada university'}, {'AuN': 'jeanne rini poespoprodjo', 'AfN': 'gadjah mada university'}, {'AuN': 'reynold rizal ubra'}, {'AuN': 'enny kenangalem'}, {'AuN': 'yodi mahendradhata', 'AfN': 'gadjah mada university'}, {'AuN': 'nicholas m anstey', 'AfN': 'charles darwin university'}, {'AuN': 'ross s bailie', 'AfN': 'university of sydney'}, {'AuN': 'anna p ralph', 'AfN': 'charles darwin university'}]",2019,10.1186/s13012-019-0870-x
9,changes in cambial activity are related to precipitation patterns in four tropical hardwood species grown in indonesia,"[{'AuN': 'hasnat rahman', 'AfN': 'tokyo university of agriculture and technology'}, {'AuN': 'widyanto dwi nugroho', 'AfN': 'gadjah mada university'}, {'AuN': 'satoshi nakaba', 'AfN': 'tokyo university of agriculture and technology'}, {'AuN': 'peter kitin', 'AfN': 'university of wisconsin madison'}, {'AuN': 'peter kitin', 'AfN': 'nanyang technological university'}, {'AuN': 'kayo kudo', 'AfN': 'akita prefectural university'}, {'AuN': 'yusuke yamagishi', 'AfN': 'hokkaido university'}, {'AuN': 'shahanara begum', 'AfN': 'bangladesh agricultural university'}, {'AuN': 'sri nugroho marsoem', 'AfN': 'gadjah mada university'}, {'AuN': 'ryo funada', 'AfN': 'tokyo university of agriculture and technology'}]",2019,10.1002/ajb2.1297
10,the strain performance of thin cfrp spcc hybrid laminates for automobile structures,"[{'AuN': 'muhammad akhsin muflikhun', 'AfN': 'university of tokyo'}, {'AuN': 'muhammad akhsin muflikhun', 'AfN': 'gadjah mada university'}, {'AuN': 'tomohiro yokozeki', 'AfN': 'university of tokyo'}, {'AuN': 'takahira aoki', 'AfN': 'university of tokyo'}]",2019,10.1016/j.compstruct.2019.03.094
